NAME,TYPE,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,OS LICENSING BENEFIT,PRIVATE IP ADDRESS,DISKS,VM GENERATION,IMAGE PLAN,TAGS,RESOURCE LINK
"azeu1dcgwdb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGW","East US","Running","Linux","Standard_E16ds_v4","Azure Hybrid Benefit for Redhat","10.115.34.27","8","V2"," -","{""application"":""CGW"",""technical_contact"":""roy.abuel@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362022"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""satyam.ravula@halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_M32ts"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGW/providers/Microsoft.Compute/virtualMachines/azeu1dcgwdb01"
"azeu1dchlap01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-chl","East US","Running","Linux","Standard_D8ds_v4","Not enabled","10.115.32.14","2","V2","81-gen2","{""application"":""CHL"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R4W6"",""SOC2"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-chl/providers/Microsoft.Compute/virtualMachines/azeu1dchlap01"
"azeu1dchldb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CHL","East US","Running","Linux","Standard_M64ms","Azure Hybrid Benefit for Redhat","10.115.34.172","8","V2","82sapha-gen2","{""application"":""CHL"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R4W6"",""SOC2"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CHL/providers/Microsoft.Compute/virtualMachines/azeu1dchldb01"
"azeu1dcitap01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cit","East US","Running","Linux","Standard_E4as_v4","Azure Hybrid Benefit for Redhat","10.115.32.93","2","V2"," -","{""application"":""CIT"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R3W2"",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""SOC2"":"""",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cit/providers/Microsoft.Compute/virtualMachines/azeu1dcitap01"
"azeu1dcitdb01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cit","East US","Running","Linux","Standard_E16ds_v4","Azure Hybrid Benefit for Redhat","10.115.34.72","8","V2"," -","{""application"":""CIT"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R3W2"",""RI_Purchased_SKU"":""Standard_E20ds_v4"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cit/providers/Microsoft.Compute/virtualMachines/azeu1dcitdb01"
"azeu1dcktdb01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-ckt","East US","Running","Linux","Standard_D8ds_v4","Azure Hybrid Benefit for Redhat","10.115.34.14","3","V2","rhel-lvm82-gen2","{""application"":""CKT"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""business_owner"":""Roy.Abuel@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R1W1"",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-ckt/providers/Microsoft.Compute/virtualMachines/azeu1dcktdb01"
"AZEU1DCLDAP01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cld","East US","Running","Linux","Standard_D8ds_v4","Azure Hybrid Benefit for Redhat","10.115.32.26","2","V2"," -","{""application"":""CLD"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cld/providers/Microsoft.Compute/virtualMachines/AZEU1DCLDAP01"
"AZEU1DCLDDB01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cld","East US","Running","Linux","Standard_M32ts","Azure Hybrid Benefit for Redhat","10.115.34.29","8","V2"," -","{""application"":""CLD"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""business_owner"":""Roy.Abuel@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_M32ts"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cld/providers/Microsoft.Compute/virtualMachines/AZEU1DCLDDB01"
"azeu1dclnap01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CLN","East US","Running","Windows","Standard_D8ds_v4","Azure Hybrid Benefit for Windows","10.115.32.214","2","V1"," -","{""application"":""CLN"",""environment_type"":""NONPROD"",""technical_contact"":""satyam.ravula@halliburton.com;DL_SAPBasis@halliburton.com;DL_ERP_Unix@halliburton.com;;Sudershan.Muthu@halliburton.com;Sudershan.Muthu@halliburton.com;"",""request_number"":""MIGRATION"",""cost_center"":""1002371585"",""billing_status"":""BILLED"",""Delivery_Manager"":""rob.trevino@halliburton.com"",""business_owner"":""Roy.Abuel@Halliburton.com"",""psl"":""Development and Support"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""WIN 2019"",""migration_approach"":""REBUILD"",""migration_strategy"":""NON-SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CLN/providers/Microsoft.Compute/virtualMachines/azeu1dclnap01"
"azeu1dcltap01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-clt","East US","Running","Linux","Standard_D8ds_v4","Not enabled","10.115.32.206","2","V2","81-gen2","{""application"":""CLT"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""business_owner"":""Roy.Abuel@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R3W2"",""SOC2"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-clt/providers/Microsoft.Compute/virtualMachines/azeu1dcltap01"
"azeu1dcltdb01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-clt","East US","Running","Linux","Standard_E20ds_v4","Azure Hybrid Benefit for Redhat","10.115.34.130","8","V2"," -","{""application"":""CLT"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R3W2"",""RI_Purchased_SKU"":""Standard_E20ds_v4"",""SOC2"":"""",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-clt/providers/Microsoft.Compute/virtualMachines/azeu1dcltdb01"
"azeu1dcpiap01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cpi","East US","Running","Linux","Standard_E8ds_v4","Azure Hybrid Benefit for Redhat","10.115.32.139","2","V2"," -","{""application"":""CPI"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cpi/providers/Microsoft.Compute/virtualMachines/azeu1dcpiap01"
"azeu1dcpidb01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-cpi","East US","Running","Linux","Standard_M8ms","Azure Hybrid Benefit for Redhat","10.115.34.102","9","V2"," -","{""application"":""CPI"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-cpi/providers/Microsoft.Compute/virtualMachines/azeu1dcpidb01"
"azeu1dcsjap02","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-csm","East US","Running","Linux","Standard_E4ds_v4","Not enabled","10.115.32.205","2","V2","81-gen2","{""application"":""CSM"",""technical_contact"":""dl_sapbasis@halliburton.com;"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_E4ds_v4"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-csm/providers/Microsoft.Compute/virtualMachines/azeu1dcsjap02"
"azeu1dcsmap02","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-csm","East US","Running","Linux","Standard_E8ds_v4","Not enabled","10.115.32.204","2","V2","81-gen2","{""application"":""CSM"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_E8ds_v4"",""RI_Purchased"":""YES"",""Application_Role"":""APP""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-csm/providers/Microsoft.Compute/virtualMachines/azeu1dcsmap02"
"azeu1dcsmdb01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-csm","East US","Running","Linux","Standard_M32ts","Azure Hybrid Benefit for Redhat","10.115.34.31","8","V2"," -","{""application"":""CSM"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""Satyam.Ravula@halliburton.com"",""business_owner"":""Roy.Abuel@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_M32ts"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-csm/providers/Microsoft.Compute/virtualMachines/azeu1dcsmdb01"
"azeu1dcspap01","Virtual machine","C-SAP-NONPROD-01","rg-eu1-dev-csp","East US","Running","Linux","Standard_E8ds_v4","Azure Hybrid Benefit for Redhat","10.115.32.109","2","V2"," -","{""application"":""CSP"",""technical_contact"":""Update Required"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""9392366018"",""billing_status"":""BILLED"",""Delivery_Manager"":""scott.traverse@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Brandon.Golden@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R3W2"",""RI_Purchased_SKU"":""Standard_E8ds_v4"",""SOC2"":"""",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/rg-eu1-dev-csp/providers/Microsoft.Compute/virtualMachines/azeu1dcspap01"
